Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Other congenital malformations of aorta,Q25.4,35-44 years,35-44,1,40589783,Unreliable
,Other congenital malformations of aorta,Q25.4,45-54 years,45-54,3,43188161,Unreliable
,Other congenital malformations of aorta,Q25.4,55-64 years,55-64,3,40877819,Unreliable
,Other congenital malformations of aorta,Q25.4,65-74 years,65-74,1,27550517,Unreliable
,Other congenital malformations of aorta,Q25.4,75-84 years,75-84,3,13923174,Unreliable
,Atresia of pulmonary artery,Q25.5,< 1 year,1,29,3978038,0.7
,Atresia of pulmonary artery,Q25.5,1-4 years,1-4,3,15929243,Unreliable
,Atresia of pulmonary artery,Q25.5,5-14 years,5-14,1,41109506,Unreliable
,Atresia of pulmonary artery,Q25.5,15-24 years,15-24,1,43848216,Unreliable
,Atresia of pulmonary artery,Q25.5,25-34 years,25-34,2,44137202,Unreliable
,Atresia of pulmonary artery,Q25.5,35-44 years,35-44,1,40589783,Unreliable
,Atresia of pulmonary artery,Q25.5,65-74 years,65-74,1,27550517,Unreliable
,Stenosis of pulmonary artery,Q25.6,< 1 year,1,17,3978038,Unreliable
,Stenosis of pulmonary artery,Q25.6,1-4 years,1-4,11,15929243,Unreliable
,Stenosis of pulmonary artery,Q25.6,5-14 years,5-14,2,41109506,Unreliable
,Stenosis of pulmonary artery,Q25.6,25-34 years,25-34,2,44137202,Unreliable
,Stenosis of pulmonary artery,Q25.6,45-54 years,45-54,2,43188161,Unreliable
,Stenosis of pulmonary artery,Q25.6,55-64 years,55-64,1,40877819,Unreliable
,Stenosis of pulmonary artery,Q25.6,85+ years,85+,5,6287161,Unreliable
,Other congenital malformations of pulmonary artery,Q25.7,< 1 year,1,5,3978038,Unreliable
,Other congenital malformations of pulmonary artery,Q25.7,1-4 years,1-4,2,15929243,Unreliable
,Other congenital malformations of pulmonary artery,Q25.7,15-24 years,15-24,1,43848216,Unreliable
,Other congenital malformations of pulmonary artery,Q25.7,45-54 years,45-54,3,43188161,Unreliable
,Other congenital malformations of pulmonary artery,Q25.7,55-64 years,55-64,2,40877819,Unreliable
,Other congenital malformations of pulmonary artery,Q25.7,85+ years,85+,1,6287161,Unreliable
,Other congenital malformations of great arteries,Q25.8,< 1 year,1,2,3978038,Unreliable
,Total anomalous pulmonary venous connection,Q26.2,< 1 year,1,29,3978038,0.7
,Total anomalous pulmonary venous connection,Q26.2,1-4 years,1-4,1,15929243,Unreliable
,Partial anomalous pulmonary venous connection,Q26.3,< 1 year,1,1,3978038,Unreliable
,Partial anomalous pulmonary venous connection,Q26.3,1-4 years,1-4,1,15929243,Unreliable
,Partial anomalous pulmonary venous connection,Q26.3,25-34 years,25-34,1,44137202,Unreliable
,Partial anomalous pulmonary venous connection,Q26.3,35-44 years,35-44,1,40589783,Unreliable
,Partial anomalous pulmonary venous connection,Q26.3,65-74 years,65-74,1,27550517,Unreliable
,Partial anomalous pulmonary venous connection,Q26.3,85+ years,85+,1,6287161,Unreliable
,"Anomalous pulmonary venous connection, unspecified",Q26.4,< 1 year,1,6,3978038,Unreliable
,"Anomalous pulmonary venous connection, unspecified",Q26.4,65-74 years,65-74,2,27550517,Unreliable
,Anomalous portal venous connection,Q26.5,1-4 years,1-4,1,15929243,Unreliable
,Anomalous portal venous connection,Q26.5,85+ years,85+,1,6287161,Unreliable
,Other congenital malformations of great veins,Q26.8,< 1 year,1,4,3978038,Unreliable
,Other congenital malformations of great veins,Q26.8,1-4 years,1-4,1,15929243,Unreliable
,Peripheral arteriovenous malformation,Q27.3,< 1 year,1,6,3978038,Unreliable
,Peripheral arteriovenous malformation,Q27.3,5-14 years,5-14,8,41109506,Unreliable
,Peripheral arteriovenous malformation,Q27.3,15-24 years,15-24,9,43848216,Unreliable
,Peripheral arteriovenous malformation,Q27.3,25-34 years,25-34,6,44137202,Unreliable
,Peripheral arteriovenous malformation,Q27.3,35-44 years,35-44,6,40589783,Unreliable
,Peripheral arteriovenous malformation,Q27.3,45-54 years,45-54,18,43188161,Unreliable
,Peripheral arteriovenous malformation,Q27.3,55-64 years,55-64,23,40877819,0.1
,Peripheral arteriovenous malformation,Q27.3,65-74 years,65-74,25,27550517,0.1
,Peripheral arteriovenous malformation,Q27.3,75-84 years,75-84,44,13923174,0.3
,Peripheral arteriovenous malformation,Q27.3,85+ years,85+,67,6287161,1.1
,Other specified congenital malformations of peripheral vascular system,Q27.8,5-14 years,5-14,1,41109506,Unreliable
,Other specified congenital malformations of peripheral vascular system,Q27.8,45-54 years,45-54,1,43188161,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,< 1 year,1,7,3978038,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,1-4 years,1-4,1,15929243,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,5-14 years,5-14,2,41109506,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,15-24 years,15-24,3,43848216,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,25-34 years,25-34,4,44137202,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,35-44 years,35-44,6,40589783,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,45-54 years,45-54,3,43188161,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,55-64 years,55-64,2,40877819,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,65-74 years,65-74,10,27550517,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,75-84 years,75-84,6,13923174,Unreliable
,"Congenital malformation of peripheral vascular system, unspecified",Q27.9,85+ years,85+,5,6287161,Unreliable
,Arteriovenous malformation of precerebral vessels,Q28.0,< 1 year,1,1,3978038,Unreliable
,Arteriovenous malformation of precerebral vessels,Q28.0,35-44 years,35-44,1,40589783,Unreliable
,Arteriovenous malformation of precerebral vessels,Q28.0,45-54 years,45-54,1,43188161,Unreliable
,Other malformations of precerebral vessels,Q28.1,15-24 years,15-24,1,43848216,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,< 1 year,1,7,3978038,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,1-4 years,1-4,1,15929243,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,5-14 years,5-14,2,41109506,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,15-24 years,15-24,3,43848216,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,25-34 years,25-34,2,44137202,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,35-44 years,35-44,6,40589783,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,45-54 years,45-54,3,43188161,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,55-64 years,55-64,8,40877819,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,65-74 years,65-74,6,27550517,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,75-84 years,75-84,2,13923174,Unreliable
,Arteriovenous malformation of cerebral vessels,Q28.2,85+ years,85+,1,6287161,Unreliable
,Other malformations of cerebral vessels,Q28.3,< 1 year,1,10,3978038,Unreliable
,Other malformations of cerebral vessels,Q28.3,5-14 years,5-14,1,41109506,Unreliable
,Other malformations of cerebral vessels,Q28.3,15-24 years,15-24,1,43848216,Unreliable
,Other malformations of cerebral vessels,Q28.3,25-34 years,25-34,4,44137202,Unreliable
,Other malformations of cerebral vessels,Q28.3,35-44 years,35-44,2,40589783,Unreliable
,Other malformations of cerebral vessels,Q28.3,45-54 years,45-54,3,43188161,Unreliable
,Other malformations of cerebral vessels,Q28.3,55-64 years,55-64,1,40877819,Unreliable
,Other malformations of cerebral vessels,Q28.3,65-74 years,65-74,3,27550517,Unreliable
,Other malformations of cerebral vessels,Q28.3,75-84 years,75-84,2,13923174,Unreliable
,Other malformations of cerebral vessels,Q28.3,85+ years,85+,1,6287161,Unreliable
,Other specified congenital malformations of circulatory system,Q28.8,< 1 year,1,2,3978038,Unreliable
,Other specified congenital malformations of circulatory system,Q28.8,35-44 years,35-44,1,40589783,Unreliable
,Other specified congenital malformations of circulatory system,Q28.8,45-54 years,45-54,1,43188161,Unreliable
,"Congenital malformation of circulatory system, unspecified",Q28.9,45-54 years,45-54,1,43188161,Unreliable
,Choanal atresia,Q30.0,1-4 years,1-4,1,15929243,Unreliable
,Web of larynx,Q31.0,< 1 year,1,2,3978038,Unreliable
,Laryngocele,Q31.3,55-64 years,55-64,1,40877819,Unreliable
,Congenital laryngomalacia,Q31.5,< 1 year,1,6,3978038,Unreliable
,Congenital laryngomalacia,Q31.5,1-4 years,1-4,3,15929243,Unreliable
,Other congenital malformations of larynx,Q31.8,< 1 year,1,7,3978038,Unreliable
,"Congenital malformation of larynx, unspecified",Q31.9,1-4 years,1-4,1,15929243,Unreliable
,Congenital tracheomalacia,Q32.0,< 1 year,1,3,3978038,Unreliable
,Other congenital malformations of trachea,Q32.1,< 1 year,1,10,3978038,Unreliable
,Other congenital malformations of trachea,Q32.1,1-4 years,1-4,1,15929243,Unreliable
,Other congenital malformations of trachea,Q32.1,25-34 years,25-34,1,44137202,Unreliable
,Congenital bronchomalacia,Q32.2,85+ years,85+,1,6287161,Unreliable
,Other congenital malformations of bronchus,Q32.4,< 1 year,1,1,3978038,Unreliable
,Congenital cystic lung,Q33.0,5-14 years,5-14,1,41109506,Unreliable
,Congenital cystic lung,Q33.0,25-34 years,25-34,1,44137202,Unreliable
,Sequestration of lung,Q33.2,< 1 year,1,2,3978038,Unreliable
,Sequestration of lung,Q33.2,45-54 years,45-54,1,43188161,Unreliable
,Agenesis of lung,Q33.3,< 1 year,1,11,3978038,Unreliable
,Agenesis of lung,Q33.3,35-44 years,35-44,1,40589783,Unreliable
,Agenesis of lung,Q33.3,75-84 years,75-84,1,13923174,Unreliable
,Congenital bronchiectasis,Q33.4,15-24 years,15-24,1,43848216,Unreliable
,Congenital bronchiectasis,Q33.4,25-34 years,25-34,1,44137202,Unreliable
,Congenital bronchiectasis,Q33.4,85+ years,85+,1,6287161,Unreliable
,Hypoplasia and dysplasia of lung,Q33.6,< 1 year,1,276,3978038,6.9
,Hypoplasia and dysplasia of lung,Q33.6,1-4 years,1-4,1,15929243,Unreliable
,Hypoplasia and dysplasia of lung,Q33.6,5-14 years,5-14,2,41109506,Unreliable
,Hypoplasia and dysplasia of lung,Q33.6,35-44 years,35-44,1,40589783,Unreliable
,Hypoplasia and dysplasia of lung,Q33.6,45-54 years,45-54,1,43188161,Unreliable
,Hypoplasia and dysplasia of lung,Q33.6,55-64 years,55-64,1,40877819,Unreliable
,Hypoplasia and dysplasia of lung,Q33.6,65-74 years,65-74,1,27550517,Unreliable
,Other congenital malformations of lung,Q33.8,< 1 year,1,2,3978038,Unreliable
,Other congenital malformations of lung,Q33.8,45-54 years,45-54,1,43188161,Unreliable
,"Congenital malformation of lung, unspecified",Q33.9,< 1 year,1,15,3978038,Unreliable
,"Congenital malformation of lung, unspecified",Q33.9,1-4 years,1-4,3,15929243,Unreliable
,"Congenital malformation of lung, unspecified",Q33.9,15-24 years,15-24,1,43848216,Unreliable
,"Congenital malformation of lung, unspecified",Q33.9,45-54 years,45-54,1,43188161,Unreliable
,"Congenital malformation of lung, unspecified",Q33.9,55-64 years,55-64,1,40877819,Unreliable
,Other specified congenital malformations of respiratory system,Q34.8,< 1 year,1,5,3978038,Unreliable
,Other specified congenital malformations of respiratory system,Q34.8,1-4 years,1-4,1,15929243,Unreliable
,Other specified congenital malformations of respiratory system,Q34.8,35-44 years,35-44,1,40589783,Unreliable
,Other specified congenital malformations of respiratory system,Q34.8,55-64 years,55-64,2,40877819,Unreliable
,Other specified congenital malformations of respiratory system,Q34.8,85+ years,85+,1,6287161,Unreliable
,"Congenital malformation of respiratory system, unspecified",Q34.9,< 1 year,1,4,3978038,Unreliable
,"Congenital malformation of respiratory system, unspecified",Q34.9,25-34 years,25-34,1,44137202,Unreliable
,"Congenital malformation of respiratory system, unspecified",Q34.9,35-44 years,35-44,2,40589783,Unreliable
,"Congenital malformation of respiratory system, unspecified",Q34.9,55-64 years,55-64,2,40877819,Unreliable
,"Congenital malformation of respiratory system, unspecified",Q34.9,75-84 years,75-84,2,13923174,Unreliable
,"Congenital malformation of respiratory system, unspecified",Q34.9,85+ years,85+,3,6287161,Unreliable
,"Cleft palate, unspecified",Q35.9,< 1 year,1,1,3978038,Unreliable
,"Cleft palate, unspecified",Q35.9,75-84 years,75-84,1,13923174,Unreliable
,"Cleft palate, unspecified",Q35.9,85+ years,85+,1,6287161,Unreliable
,"Unspecified cleft palate with cleft lip, unilateral",Q37.9,< 1 year,1,3,3978038,Unreliable
,Other congenital malformations of tongue,Q38.3,55-64 years,55-64,1,40877819,Unreliable
,Other congenital malformations of pharynx,Q38.8,65-74 years,65-74,1,27550517,Unreliable
,Other congenital malformations of pharynx,Q38.8,75-84 years,75-84,1,13923174,Unreliable
,Other congenital malformations of pharynx,Q38.8,85+ years,85+,1,6287161,Unreliable
,Atresia of oesophagus without fistula,Q39.0,< 1 year,1,4,3978038,Unreliable
,Atresia of oesophagus without fistula,Q39.0,85+ years,85+,1,6287161,Unreliable
,Atresia of oesophagus with tracheo-oesophageal fistula,Q39.1,< 1 year,1,1,3978038,Unreliable
,Congenital tracheo-oesophageal fistula without atresia,Q39.2,< 1 year,1,3,3978038,Unreliable
,Congenital tracheo-oesophageal fistula without atresia,Q39.2,1-4 years,1-4,1,15929243,Unreliable
,Diverticulum of oesophagus,Q39.6,45-54 years,45-54,1,43188161,Unreliable
,Diverticulum of oesophagus,Q39.6,55-64 years,55-64,1,40877819,Unreliable
,Diverticulum of oesophagus,Q39.6,75-84 years,75-84,4,13923174,Unreliable
,Diverticulum of oesophagus,Q39.6,85+ years,85+,17,6287161,Unreliable
,"Congenital malformation of oesophagus, unspecified",Q39.9,85+ years,85+,1,6287161,Unreliable
,Congenital hypertrophic pyloric stenosis,Q40.0,< 1 year,1,3,3978038,Unreliable
,Other specified congenital malformations of stomach,Q40.2,< 1 year,1,1,3978038,Unreliable
,"Congenital malformation of stomach, unspecified",Q40.3,85+ years,85+,1,6287161,Unreliable
,"Congenital absence, atresia and stenosis of duodenum",Q41.0,< 1 year,1,1,3978038,Unreliable
,"Congenital absence, atresia and stenosis of jejunum",Q41.1,< 1 year,1,2,3978038,Unreliable
,"Congenital absence, atresia and stenosis of jejunum",Q41.1,15-24 years,15-24,1,43848216,Unreliable
,"Congenital absence, atresia and stenosis of ileum",Q41.2,< 1 year,1,1,3978038,Unreliable
,"Congenital absence, atresia and stenosis of small intestine, part unspecified",Q41.9,1-4 years,1-4,1,15929243,Unreliable
,"Congenital absence, atresia and stenosis of small intestine, part unspecified",Q41.9,5-14 years,5-14,1,41109506,Unreliable
,"Congenital absence, atresia and stenosis of anus without fistula",Q42.3,< 1 year,1,3,3978038,Unreliable
,"Congenital absence, atresia and stenosis of anus without fistula",Q42.3,5-14 years,5-14,1,41109506,Unreliable
,"Congenital absence, atresia and stenosis of anus without fistula",Q42.3,75-84 years,75-84,1,13923174,Unreliable
,Meckel's diverticulum,Q43.0,< 1 year,1,1,3978038,Unreliable
,Meckel's diverticulum,Q43.0,1-4 years,1-4,2,15929243,Unreliable
,Meckel's diverticulum,Q43.0,5-14 years,5-14,1,41109506,Unreliable
,Meckel's diverticulum,Q43.0,15-24 years,15-24,1,43848216,Unreliable
,Meckel's diverticulum,Q43.0,35-44 years,35-44,1,40589783,Unreliable
,Meckel's diverticulum,Q43.0,55-64 years,55-64,2,40877819,Unreliable
,Meckel's diverticulum,Q43.0,65-74 years,65-74,1,27550517,Unreliable
,Meckel's diverticulum,Q43.0,75-84 years,75-84,1,13923174,Unreliable
,Meckel's diverticulum,Q43.0,85+ years,85+,2,6287161,Unreliable
,Hirschsprung's disease,Q43.1,< 1 year,1,8,3978038,Unreliable
,Hirschsprung's disease,Q43.1,1-4 years,1-4,3,15929243,Unreliable
,Hirschsprung's disease,Q43.1,5-14 years,5-14,1,41109506,Unreliable
,Hirschsprung's disease,Q43.1,35-44 years,35-44,3,40589783,Unreliable
,Hirschsprung's disease,Q43.1,45-54 years,45-54,5,43188161,Unreliable
,Hirschsprung's disease,Q43.1,55-64 years,55-64,3,40877819,Unreliable
,Hirschsprung's disease,Q43.1,75-84 years,75-84,2,13923174,Unreliable
,Hirschsprung's disease,Q43.1,85+ years,85+,2,6287161,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,< 1 year,1,8,3978038,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,1-4 years,1-4,2,15929243,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,5-14 years,5-14,4,41109506,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,15-24 years,15-24,1,43848216,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,35-44 years,35-44,3,40589783,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,55-64 years,55-64,3,40877819,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,65-74 years,65-74,1,27550517,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,75-84 years,75-84,1,13923174,Unreliable
,Congenital malformations of intestinal fixation,Q43.3,85+ years,85+,2,6287161,Unreliable
,Other specified congenital malformations of intestine,Q43.8,< 1 year,1,7,3978038,Unreliable
,Other specified congenital malformations of intestine,Q43.8,1-4 years,1-4,1,15929243,Unreliable
,Other specified congenital malformations of intestine,Q43.8,65-74 years,65-74,1,27550517,Unreliable
,"Congenital malformation of intestine, unspecified",Q43.9,< 1 year,1,3,3978038,Unreliable
,"Congenital malformation of intestine, unspecified",Q43.9,1-4 years,1-4,1,15929243,Unreliable
,"Congenital malformation of intestine, unspecified",Q43.9,35-44 years,35-44,1,40589783,Unreliable
,"Congenital malformation of intestine, unspecified",Q43.9,65-74 years,65-74,1,27550517,Unreliable
,"Congenital malformation of intestine, unspecified",Q43.9,75-84 years,75-84,2,13923174,Unreliable
,"Congenital malformation of intestine, unspecified",Q43.9,85+ years,85+,3,6287161,Unreliable
,Other congenital malformations of gallbladder,Q44.1,75-84 years,75-84,1,13923174,Unreliable
,Atresia of bile ducts,Q44.2,< 1 year,1,7,3978038,Unreliable
,Atresia of bile ducts,Q44.2,1-4 years,1-4,7,15929243,Unreliable
,Atresia of bile ducts,Q44.2,5-14 years,5-14,4,41109506,Unreliable
,Atresia of bile ducts,Q44.2,15-24 years,15-24,2,43848216,Unreliable
,Atresia of bile ducts,Q44.2,25-34 years,25-34,3,44137202,Unreliable
,Atresia of bile ducts,Q44.2,45-54 years,45-54,1,43188161,Unreliable
,Atresia of bile ducts,Q44.2,75-84 years,75-84,1,13923174,Unreliable
,Choledochal cyst,Q44.4,< 1 year,1,1,3978038,Unreliable
,Choledochal cyst,Q44.4,55-64 years,55-64,1,40877819,Unreliable
